NASA Outgassing Database
source: http://outgassing.nasa.gov
data last updated: 03/29/2013

sample_id	data_ref	mfgr_code	tml	vcm	wvr	time1	temp1	atm1	time2	temp2	atm2	time3	temp3	atm3	time4	temp4	atm4	appl_code
---------	--------	---------	---	---	---	-----	-----	----	-----	-----	----	-----	-----	----	-----	-----	----	---------
V MATERIAL IN CLICKBOND CB4023V, GLASS/PEI - 40% GLASS	GSC33214	CLB	0.37	0.00	0.35													CLICKBOND
VC MATERIAL IN CLICKBOND CB9257VC, CARBON FILLED PEI	GSC33217	CLB	0.52	0.00	0.28													CLICKBOND
0.5 MIL KAPTON KEVLAR, SHELDAHL 177544	GSC32950	SCH	2.48	0.05	1.97													BLANKET MATERIAL
1.6 MIL GBK NOMEX, SHELDAHL 177541-001	GSC32947	SCH	1.81	0.03	1.76													BLANKET MATERIAL
100 DUN-LAM, GE COATED BLACK KAPTON XC	GSC33397	DUN	0.89	0.01	0.67													COND BLANKET FILM
1170 ALUMINUM FOIL EMI SHIELDING TAPE	GSC32728	MMM	0.30	0.09	0.02													TAPE
1181 COPPER FOIL EMI SHIELDING TAPE WITH COND ACRYLIC ADHESIVE	GSC32731	MMM	0.18	0.03	0.01													TAPE
11N LAMINATE	GSC29152	ARL4	0.32	0.00	0.23													LAMINATE
13664 FLUOROCARBON RUBBER (F75)	GSC33088	PCX	0.13	0.00	0.06	10M	177	AIR	24H	250	AIR							RUBBER
160 D-M GERMANIUM / BLACK KAPTON XC/NOMEX LOT # 06121934-1	GSC30253	DUM	1.95	0.07	1.61													BLANKET
1692 ACRYLIC TRANSFER TAPE	GSC32425	VEN	0.60	0.01	0.19													CONDUCTIVE TAPE
195 DENIER KEVLAR 49, PLAIN WEAVE 34 X 33	GSC31495	FAB	2.10	0.04	1.80													MICROMETEROID SHIELD
1P802YE POLYESTER FILM 	GSC28111	LOP	0.79	0.02	0.35													TAPE
27% NI-CLAD COPPER WIRE WITH H-ALCAL INSULATION	GSC29605	CFW	0.03	0.01	0.02	3H	350	AIR										WIRE
275 D-E GERMANIUM/BLACK KAPTON XC230/DVA (CLEAN)	GSC28267	DUN	1.63	0.01	1.27													THERMAL BLANKET
275 D-E GERMANIUM/BLACK KAPTON XC230/DVA (DISCOLORED)	GSC28270	DUN	1.51	0.01	1.20													THERMAL BLANKET
3 M KAPTON 92 TAPE	GSC27751	MMM	2.74	1.06	0.30													TAPE
3145 RTV ADHESIVE SEALANT	GSC28621	DCC	2.52	0.58	0.11	7D	25	AIR										ADHESIVE
3145 RTV ADHESIVE SEALANT	GSC28657	DCC	2.29	0.52	0.06	7D	25	AIR	4H	60	AIR							ADHESIVE
38N POLYIMIDE NO-FLOW RESIN ON WOVEN FIBERGLASS REINFORCEMENT	GSC31120	ARL	0.71	0.00	0.34	1H	185											LAMINATES AND CIRCUIT BOARDS
3BTN 1 BLANKETING MATERIAL, INNER LAYERS	GSC30397	RUS	0.32	0.00	0.24													LRO LEND
3BTN 1 BLANKETING MATERIAL, OUTER LAYER	GSC30394	RUS	1.55	0.00	1.31													LRO LEND
3BTN 1 BLANKETING MATERIAL, YELLOW THREAD	GSC30400	RUS	1.85	0.16	1.01													LRO LEND
3BTN 2 BLANKETING MATERIAL, GOLD LAYER	GSC30403	RUS	0.92	0.03	0.69													LRO LEND
3BTN 2 BLANKETING MATERIAL, WHITE THREAD	GSC30406	RUS	3.14	0.15	2.12													LRO LEND
3M 1125 1 INCH EMI COPPER TAPE	GSC30436	MMM	0.10	0.02	0.03													EMI SHIELDING
3M 1970 BAGGING MATERIAL	GSC29014	MMM	0.24	0.06	0.04													BAGGING MATERIAL
3M 40 PRINTED ANTISTATIC UTILITY TAPE	GSC31144	MMM	1.33	0.07	0.71													TAPE
3M 425 AL TAPE WITH ACRYLIC ADHESIVE - 2 1/2 INCH THICK	GSC31147	MMM	0.17	0.00	0.04													TAPE
3M 425 AL TAPE WITH ACRYLIC ADHESIVE - 4 INCH THICK	GSC31150	MMM	0.16	0.01	0.04													TAPE
3M 425 ALUMINUM TAPE	GSC31492	MMM	0.18	0.01	0.06													CONDUCTIVE TAPE
3M 427 TAPE (ALUMINUM W/ACRYLIC PSA)	GSC33718	MMM	0.19	0.01	0.04													TAPE
3M 467MP CLEAR ADHESIVE TRANSFER TAPE	GSC31312	MMM	0.90	0.02	0.18													ADHESIVE
3M 5 ELECTRICAL TAPE (ZC 6186-03 NOTED ON ROLL	GSC31609	MMM	0.62	0.10	0.19													ELECTRICAL TAPE
3M 79 TAPE # USLN-88XJ3Z-962737031343	GSC32383	MMM	0.29	0.04	0.08													TAPE
3M 9495MP DBLSIDED TAPE-POLYESTER W/ ACRYLIC ADHESIVE	GSC33394	MMM	0.97	0.01	0.20													INSULATION TAPE
3M 950 ACRYLIC TAPE	GSC33730	MMM	3.82	1.08	0.19													TAPE
3M ADHESIVE 30 NF NEUTRAL	GSC29523	MMM	5.05	0.95	0.32													ADHESIVE
